Speaker,Footedness,Info_str,Place,GDUR,PVEL,T2PVEL,MDISP
F2,footed,cntr,lower_lip,88,87.52,36,5
F2,unfooted,bck,lower_lip,48,45.3,28,1.6
F2,footed,bck,lower_lip,104,79.67,48,4.6
F2,footed,cntr,tongue_tip,76,154.72,52,5
F2,footed,bck,tongue_body,128,128.98,68,10.2
F2,unfooted,cntr,lower_lip,92,58.72,48,3.5
F2,footed,nrw,tongue_body,140,114.6,72,8.8
F2,unfooted,brd,tongue_tip,72,170.93,48,5.6
F2,unfooted,nrw,lower_lip,88,78.45,40,4.2
F2,footed,brd,lower_lip,76,87.7,40,4.4
F2,unfooted,bck,tongue_body,132,96.84,60,7.8
F2,unfooted,nrw,tongue_body,120,78.31,80,5.9
F2,footed,nrw,lower_lip,124,61.49,48,5.1
F2,footed,bck,tongue_tip,76,145.16,56,5.3
F2,footed,nrw,lower_lip,64,68.84,36,2.8
F2,unfooted,nrw,tongue_body,132,80.71,64,6.8
F2,unfooted,nrw,tongue_tip,52,125.34,28,4.2
F2,unfooted,cntr,tongue_tip,56,157.26,28,5.3
F2,footed,brd,lower_lip,104,106.44,52,7.3
F2,unfooted,bck,tongue_tip,96,120.19,64,5.7
F2,footed,bck,tongue_body,164,94.43,60,9.2
F2,footed,brd,tongue_body,112,83.5,48,6
F2,unfooted,nrw,lower_lip,100,64.56,52,4.3
F2,footed,cntr,tongue_body,144,112.1,60,9.6
F2,unfooted,bck,lower_lip,76,22.4,56,1.3
F2,footed,bck,lower_lip,96,61.86,36,3.5
F2,footed,cntr,tongue_tip,88,194.53,56,7.8
F2,unfooted,cntr,lower_lip,100,96.28,44,5.2
F2,unfooted,bck,tongue_body,132,103.55,68,8.4
F2,footed,brd,tongue_tip,80,126.19,60,4.5
F2,unfooted,brd,tongue_body,116,106.73,64,7.8
F2,unfooted,brd,lower_lip,64,38.6,28,1.7
F2,footed,cntr,lower_lip,76,64.34,40,3.3
F2,unfooted,brd,tongue_tip,68,112.44,44,3.9
F2,footed,nrw,tongue_body,144,103.65,60,8.2
F2,unfooted,cntr,tongue_body,144,88.59,64,8.5
